date,open,high,low,close,adj_close,volume
2024-06-21,544.4000,545.6500,543.0200,544.5100,531.9177,64338600
2024-06-24,544.3300,546.9500,542.6200,542.7400,530.1886,45528700
2024-06-25,543.9900,545.2000,542.4400,544.8300,532.2302,37936200
2024-06-26,543.6900,546.2400,543.0300,545.5100,532.8945,38550600
2024-06-27,545.3700,546.9600,544.6100,546.3700,533.7347,35041500
2024-06-28,547.1600,550.2800,542.9500,544.2200,531.6343,76144500
2024-07-01,545.6300,545.8800,542.5200,545.3400,532.7285,40297800
2024-07-02,543.7000,549.0100,543.6500,549.0100,536.3137,40434800
2024-07-03,548.6900,551.8300,548.6500,551.4600,538.7070,32789900
2024-07-05,551.7700,555.0500,551.1200,554.6400,541.8135,41488400
2024-07-08,555.4400,556.2500,554.1900,555.2800,542.4387,36110500
2024-07-09,556.2600,557.1800,555.5200,555.8200,542.9662,27289700
2024-07-10,557.0700,561.6700,556.7700,561.3200,548.3389,38701200
2024-07-11,561.4400,562.3300,555.8300,556.4800,543.6109,53054200
2024-07-12,557.6300,563.6700,557.1500,559.9900,547.0397,53084400
2024-07-15,562.0300,564.8400,559.6300,561.5300,548.5441,40584300
2024-07-16,562.8700,565.1600,562.1000,564.8600,551.7970,36475300
2024-07-17,558.8000,560.5100,556.6100,556.9400,544.0602,57119000
2024-07-18,558.5100,559.5200,550.4300,552.6600,539.8792,56270400
2024-07-19,552.4200,554.0800,547.9100,548.9900,536.2941,65509100
2024-07-22,553.0000,555.2700,551.0200,554.6500,541.8233,43346700
2024-07-23,554.5400,556.7400,553.2800,553.7800,540.9733,34439600
2024-07-24,548.8600,549.1700,540.2900,541.2300,528.7135,74515300
2024-07-25,541.3500,547.4600,537.4500,538.4100,525.9587,61158300
2024-07-26,542.2800,547.1900,541.4900,544.4400,531.8494,53763800
2024-07-29,546.0200,547.0500,542.7200,544.7600,532.1619,39515800
